,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[245],-0.5088,0.2887,-1.0609,0.0366,0.0025,0.0039,13297.0985,7218.2518,1.0005
E[246],-0.5104,0.2935,-1.0595,0.0711,0.0025,0.004,14081.4317,8361.2956,1.0016
E[247],-0.5088,0.2917,-1.0599,0.0479,0.0024,0.0041,14424.4117,8070.5222,1.0013
E[248],-0.5105,0.2891,-1.0682,0.0416,0.0024,0.0037,14167.0129,8905.1295,1.001
E[249],-0.5108,0.2922,-1.0555,0.0597,0.0027,0.0037,12267.9177,9270.4611,1.0015
E[250],-0.511,0.2879,-1.0797,0.0247,0.0025,0.004,13318.8063,8448.8748,1.0021
E[251],-0.5096,0.2917,-1.0698,0.0477,0.0027,0.0042,11952.2,8364.9707,1.0037
E[252],-0.5095,0.2905,-1.0555,0.0567,0.0026,0.0037,12522.5311,9129.5115,1.0008
E[253],-0.5072,0.2914,-1.0513,0.0532,0.0025,0.0039,13455.6415,10246.9269,1.0011
E[254],-0.508,0.289,-1.0655,0.0344,0.0027,0.0039,11942.049,8075.8138,1.0012
E[255],-0.5093,0.2938,-1.0652,0.0626,0.0028,0.0039,11270.8179,9046.8457,1.0011
E[256],-0.5121,0.2851,-1.0319,0.045,0.0025,0.0035,13207.7095,10691.0051,1.0023
E[257],-0.5127,0.2905,-1.0621,0.0604,0.0024,0.0043,14203.4477,8706.2607,1.0021
E[258],-0.5065,0.2888,-1.0457,0.0569,0.0026,0.0038,12248.7298,10137.1294,1.0018
E[259],-0.5092,0.2887,-1.0418,0.0631,0.0026,0.0034,12054.9876,9689.2259,1.0018
E[260],-0.5103,0.2915,-1.0654,0.0509,0.0025,0.0037,13259.1277,9212.7292,1.0016
E[261],-0.5103,0.2939,-1.0707,0.0569,0.0028,0.0039,11018.1241,7923.8513,1.0023
E[262],-0.5083,0.2921,-1.027,0.091,0.0027,0.004,11243.1864,9696.762,1.0014
E[263],-0.5102,0.2944,-1.0735,0.0476,0.0026,0.0037,12423.5734,10030.1932,1.0012
E[264],-0.5093,0.2944,-1.0908,0.0414,0.0026,0.0039,13120.8724,9764.9906,1.001
E[265],-0.5067,0.2902,-1.0646,0.0489,0.0025,0.0036,13610.6871,9461.5022,1.0006
