,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[93],-0.5146,0.5579,-1.5484,0.543,0.0039,0.0044,20464.5343,12207.5169,1.0003
E[94],-0.5144,0.5588,-1.5913,0.5076,0.0043,0.0044,16733.2404,11914.0313,1.0
E[95],-0.5169,0.5587,-1.5286,0.5706,0.0039,0.0045,20118.4988,12305.1407,1.0
E[96],-0.5203,0.5713,-1.5973,0.5469,0.0047,0.0044,14953.5927,12104.7014,1.0001
E[97],-0.5153,0.5648,-1.5846,0.5213,0.0042,0.0044,17697.9962,11883.228,1.0003
E[98],-0.5128,0.5685,-1.5787,0.5454,0.0043,0.0046,17084.8723,11656.4196,1.0007
E[99],-0.5106,0.569,-1.5622,0.572,0.0049,0.0044,13768.4301,11964.7591,1.0002
E[100],-0.5129,0.5624,-1.5006,0.615,0.004,0.0044,19595.6802,11870.5492,1.0001
E[101],-0.5137,0.5646,-1.5978,0.5381,0.0039,0.0048,20819.8564,11256.692,1.0
E[102],-0.5116,0.5742,-1.5455,0.6031,0.0045,0.0045,16188.7639,11478.5445,1.0002
E[103],-0.5133,0.5677,-1.5847,0.5459,0.0045,0.0044,15728.6679,12535.0396,1.0005
E[104],-0.5109,0.5604,-1.5381,0.5568,0.0042,0.0044,17724.8685,12016.9848,1.0001
E[105],-0.5199,0.5655,-1.5581,0.5672,0.0047,0.0044,14435.0569,12302.688,1.0004
E[106],-0.5084,0.5638,-1.5886,0.5295,0.0046,0.0044,14825.4469,11455.5484,1.0001
E[107],-0.5163,0.5697,-1.551,0.5797,0.0045,0.0046,16230.4607,12353.777,1.0009
E[108],-0.5172,0.5638,-1.6127,0.4965,0.0044,0.0045,16412.156,11360.4493,0.9999
E[109],-0.5153,0.5691,-1.5644,0.5665,0.0044,0.0045,16861.0514,12347.9336,1.0009
E[110],-0.5152,0.5651,-1.5414,0.6039,0.0042,0.0047,18107.8332,12119.3271,1.0002
E[111],-0.515,0.5716,-1.5814,0.5443,0.0046,0.0045,15300.7869,11596.4238,1.0
E[112],-0.5128,0.5694,-1.5738,0.5665,0.0039,0.0047,21441.3293,12279.5712,1.0001
E[113],-0.5101,0.5566,-1.5013,0.589,0.0042,0.0043,17271.9967,12387.7511,1.0004
E[114],-0.5155,0.5654,-1.5852,0.546,0.0043,0.0045,17319.1283,11923.376,1.0003
E[115],-0.5094,0.561,-1.5245,0.5933,0.0042,0.0044,17547.5248,12023.6865,1.0004
E[116],-0.5153,0.5738,-1.5753,0.5594,0.0045,0.0043,15964.569,11947.8964,1.0004
E[117],-0.5088,0.5656,-1.5719,0.5516,0.0042,0.0048,17841.9994,11800.2781,0.9999
E[118],-0.5173,0.5618,-1.5279,0.5924,0.0039,0.0048,21033.3472,12121.2267,1.0
E[119],-0.5095,0.5642,-1.5599,0.5459,0.0048,0.0044,13757.5155,12398.0255,1.0
E[120],-0.5082,0.5632,-1.5522,0.5589,0.0038,0.0047,22090.2441,12291.935,1.0003
E[121],-0.5056,0.5742,-1.5622,0.5917,0.0043,0.0045,18102.4163,12752.5223,1.0002
E[122],-0.5116,0.5614,-1.5663,0.5456,0.0046,0.0043,14902.2199,12607.137,1.0001
E[123],-0.5189,0.5668,-1.6099,0.5026,0.0041,0.0047,19029.4405,11469.8953,1.0002
E[124],-0.5206,0.5691,-1.6027,0.5385,0.0045,0.0045,16027.7601,11878.1734,1.0007
E[125],-0.512,0.5667,-1.5866,0.5372,0.0043,0.0048,17652.3699,12157.6829,1.0
E[126],-0.5174,0.5709,-1.5612,0.5652,0.0045,0.0045,15930.8078,12377.6367,1.0002
E[127],-0.5162,0.5617,-1.5817,0.5329,0.0043,0.0045,17191.718,12211.0546,1.0003
E[128],-0.5129,0.5697,-1.5668,0.5747,0.0049,0.0045,13404.1244,11576.7769,1.0004
E[129],-0.5178,0.5748,-1.5961,0.5729,0.0046,0.0044,15337.1332,12158.3841,1.0002
E[130],-0.5114,0.5666,-1.5937,0.5454,0.0045,0.0046,15800.0711,10400.5465,1.0003
E[131],-0.5033,0.5575,-1.5765,0.5096,0.0042,0.0043,17767.7001,12211.7994,1.0001
E[132],-0.5109,0.5664,-1.6161,0.5308,0.0044,0.0047,16853.4651,11438.7222,1.0
E[133],-0.5153,0.5632,-1.5269,0.5767,0.0045,0.0043,15614.4608,12530.362,1.0006
E[134],-0.516,0.5615,-1.5697,0.5521,0.0044,0.0045,16517.6569,11924.4405,1.0003
E[135],-0.5116,0.5594,-1.5539,0.534,0.004,0.0046,19293.2458,12305.5186,1.0007
E[136],-0.5109,0.5599,-1.5387,0.5516,0.0044,0.0043,15846.0042,12400.6151,1.0004
E[137],-0.5121,0.5639,-1.5709,0.551,0.0046,0.0043,15022.7324,12478.1823,1.0001
E[138],-0.5124,0.5671,-1.5567,0.5588,0.0036,0.0049,24476.9969,11791.3176,1.0003
E[139],-0.5174,0.5597,-1.5802,0.5122,0.0043,0.0043,17297.6488,12210.3053,1.0003
E[140],-0.5171,0.5611,-1.5599,0.5345,0.0043,0.0043,17359.9476,12368.6648,1.0001
E[141],-0.5198,0.5681,-1.5817,0.5368,0.0044,0.0043,16356.4719,11762.8884,1.0001
E[142],-0.5117,0.5647,-1.5703,0.5308,0.0042,0.0045,18375.8434,12666.019,1.0
E[143],-0.5125,0.567,-1.5911,0.5165,0.0043,0.0046,17552.3125,11614.0194,1.0005
E[144],-0.5106,0.5688,-1.5943,0.5384,0.0045,0.0042,15635.7488,12388.7471,1.0004
E[145],-0.5207,0.5652,-1.5679,0.5213,0.0044,0.0042,16170.0359,12351.6562,1.0002
E[146],-0.5173,0.5634,-1.5911,0.5175,0.0041,0.0044,18672.6456,12055.0141,1.0001
E[147],-0.5157,0.5607,-1.5612,0.5322,0.0041,0.0045,18982.7554,12652.9605,1.0001
E[148],-0.5201,0.5648,-1.5655,0.5509,0.0042,0.0046,18151.572,11958.688,1.0005
E[149],-0.5149,0.5662,-1.575,0.5376,0.0043,0.0045,17066.6928,10839.1163,1.0004
E[150],-0.5197,0.5691,-1.5513,0.5724,0.0047,0.0042,14412.0913,12279.4205,1.0001
E[151],-0.5139,0.5615,-1.5678,0.5491,0.0044,0.0044,16297.9586,11638.3479,1.0
E[152],-0.513,0.5627,-1.5879,0.5258,0.0038,0.0046,21974.7502,12656.2307,1.0
E[153],-0.5172,0.5646,-1.6183,0.5087,0.0043,0.0045,17016.8498,12087.9498,1.0
E[154],-0.522,0.566,-1.5602,0.5594,0.0042,0.0048,17822.5811,11900.185,1.0002
E[155],-0.5161,0.5575,-1.5508,0.5274,0.0045,0.0043,15663.5923,11903.2574,1.0
E[156],-0.5135,0.5618,-1.5538,0.5359,0.0045,0.0043,15868.0479,11670.9883,1.0
E[157],-0.5147,0.5662,-1.6312,0.5022,0.004,0.0047,19726.9721,12386.0069,1.0003
E[158],-0.5147,0.561,-1.5474,0.5621,0.0045,0.0044,15527.8734,11677.3829,1.0
E[159],-0.5217,0.5656,-1.5626,0.5575,0.0045,0.0044,16109.2432,11673.6504,1.0001
E[160],-0.5096,0.5621,-1.5777,0.5375,0.0044,0.0045,16634.0137,11759.1879,0.9999
E[161],-0.519,0.5618,-1.5765,0.5412,0.0037,0.0046,22541.4094,11535.2511,1.0001
E[162],-0.5133,0.5678,-1.5596,0.5652,0.0041,0.0047,19632.1301,12008.7834,1.0002
E[163],-0.5062,0.5649,-1.5516,0.5708,0.0045,0.0044,16032.5857,11746.3031,1.0003
E[164],-0.5183,0.5694,-1.5678,0.5558,0.0042,0.0046,18630.3673,11624.0784,1.0003
E[165],-0.5184,0.5575,-1.5963,0.5091,0.004,0.0045,19441.2982,11725.6278,1.0005
E[166],-0.5159,0.576,-1.6343,0.5404,0.0046,0.0046,15909.611,11671.1772,1.0
E[167],-0.5205,0.5656,-1.5781,0.5644,0.0046,0.0045,14853.472,11149.1443,1.0
E[168],-0.5089,0.5641,-1.5693,0.5505,0.0046,0.0044,15362.8199,12164.9475,1.0002
E[169],-0.5166,0.5601,-1.5615,0.566,0.0042,0.0043,17666.6353,12742.7127,1.0001
E[170],-0.5131,0.5621,-1.5732,0.5391,0.004,0.0047,19380.4288,11012.2779,1.0004
E[171],-0.5187,0.5617,-1.5648,0.5453,0.0046,0.0042,14834.9882,11912.3254,1.0003
E[172],-0.5168,0.5679,-1.5618,0.5752,0.0045,0.0045,15839.9125,11858.9841,1.0
E[173],-0.5155,0.5633,-1.5705,0.5318,0.0043,0.0044,17072.7647,11963.4041,1.0001
E[174],-0.5116,0.5662,-1.5934,0.5306,0.0046,0.0041,15090.239,12082.2537,1.0002
E[175],-0.5169,0.5664,-1.5698,0.5571,0.004,0.0045,20043.6567,12418.5495,1.0001
E[176],-0.5167,0.5714,-1.5538,0.5648,0.0042,0.0045,18478.5987,11869.2828,1.0002
E[177],-0.516,0.5629,-1.6027,0.5183,0.0042,0.0045,17679.8481,12083.3706,1.0004
E[178],-0.516,0.5665,-1.5824,0.5508,0.0045,0.0043,16128.8761,11861.9277,1.0001
E[179],-0.5108,0.5646,-1.5981,0.5156,0.0045,0.0045,15426.9486,12349.7565,1.0002
E[180],-0.5147,0.5609,-1.5474,0.5443,0.004,0.0044,19612.9668,12683.0756,1.0002
E[181],-0.5136,0.5678,-1.5945,0.5532,0.0042,0.0047,17801.8844,11488.5063,1.0005
E[182],-0.513,0.5639,-1.5855,0.532,0.0041,0.0045,18862.7034,11936.0387,0.9999
E[183],-0.5143,0.5627,-1.6073,0.4984,0.0042,0.0044,18165.0938,11939.3952,1.0
E[184],-0.5125,0.5728,-1.6264,0.5503,0.0042,0.0048,18522.8072,11296.6416,0.9999
E[185],-0.5212,0.5582,-1.623,0.4693,0.0038,0.0049,21255.0459,11656.6308,1.0001
E[186],-0.5136,0.5619,-1.5857,0.5259,0.004,0.0046,20170.7128,11950.8135,1.0
E[187],-0.5119,0.5702,-1.604,0.5515,0.0043,0.0044,17302.5851,12096.8258,1.0003
E[188],-0.5101,0.5619,-1.5859,0.5264,0.0041,0.0045,19034.6826,12205.2707,1.0005
E[189],-0.52,0.5644,-1.5885,0.5219,0.0044,0.0043,16337.3694,12052.2279,1.0004
E[190],-0.5184,0.5654,-1.5719,0.5496,0.0042,0.0045,18093.4046,12515.4446,1.0001
E[191],-0.5185,0.5627,-1.5976,0.4999,0.0043,0.0044,16731.2598,11947.2146,1.0003
E[192],-0.5141,0.5648,-1.5665,0.5527,0.0052,0.0043,11927.1728,11366.3087,1.0001
E[193],-0.5125,0.5649,-1.5874,0.5436,0.0042,0.0044,18477.0569,12525.949,1.0006
E[194],-0.522,0.5749,-1.6036,0.5588,0.0045,0.0044,16391.1647,11935.6727,1.0004
E[195],-0.5163,0.5594,-1.5582,0.5507,0.0041,0.0047,19078.9858,12064.347,1.0005
E[196],-0.5128,0.5649,-1.5657,0.5686,0.0045,0.0043,16099.4718,12399.4645,1.0005
E[197],-0.5152,0.5702,-1.6043,0.5482,0.0043,0.0045,17694.8132,12177.0724,1.0005
E[198],-0.5124,0.5669,-1.5729,0.5378,0.0042,0.0045,18380.0064,12371.8276,1.0007
E[199],-0.5148,0.5638,-1.5559,0.5619,0.0043,0.0044,17549.5988,11929.7549,1.0005
E[200],-0.5118,0.5638,-1.5373,0.5753,0.0044,0.0043,16713.9514,12041.7297,1.0
E[201],-0.5234,0.5701,-1.6163,0.5308,0.0047,0.0047,14873.4018,11433.1212,1.0001
E[202],-0.5103,0.563,-1.5598,0.5615,0.0041,0.0047,18676.3554,12418.0132,1.0008
E[203],-0.507,0.5638,-1.5835,0.53,0.0049,0.0041,13465.0692,12328.8544,1.0002
E[204],-0.5147,0.5708,-1.5971,0.5508,0.0045,0.0045,16290.9665,12273.8909,0.9999
E[205],-0.5126,0.5594,-1.5915,0.5085,0.0042,0.0046,17531.4732,11735.146,1.0002
E[206],-0.5194,0.5661,-1.6116,0.5252,0.0043,0.0048,17150.6398,11842.8398,1.0003
E[207],-0.5124,0.563,-1.5832,0.5497,0.0042,0.0046,18238.8752,11425.1067,0.9999
E[208],-0.5233,0.5595,-1.5575,0.5199,0.0042,0.0042,17473.9887,12507.4239,1.0001
E[209],-0.5151,0.5636,-1.5732,0.5242,0.0046,0.0044,15232.528,12353.065,1.0001
E[210],-0.5091,0.5692,-1.5867,0.5407,0.0046,0.0042,15629.3632,11701.3982,1.0002
E[211],-0.517,0.5642,-1.5607,0.5608,0.0047,0.0044,14665.7594,11788.3424,1.0005
E[212],-0.5117,0.5679,-1.5915,0.5359,0.0041,0.0046,18955.8528,12176.7319,0.9999
E[213],-0.5122,0.5657,-1.5754,0.5499,0.0042,0.0041,17697.151,12532.1032,1.0
E[214],-0.5198,0.5644,-1.5693,0.5515,0.0044,0.0044,16743.2449,12044.6223,1.0005
E[215],-0.5174,0.5762,-1.5681,0.5934,0.0045,0.0046,16682.8807,11915.35,1.0002
E[216],-0.5116,0.5687,-1.5978,0.5495,0.0043,0.0047,17768.4344,12074.0283,1.0001
E[217],-0.5181,0.5717,-1.6314,0.5034,0.0042,0.0046,18137.963,11423.5775,0.9999
E[218],-0.5146,0.5697,-1.5838,0.5701,0.0046,0.0044,15100.2154,11928.7083,1.0003
E[219],-0.5101,0.5678,-1.5662,0.5506,0.0045,0.0042,15790.1649,11808.102,1.0004
E[220],-0.5132,0.5705,-1.5426,0.6108,0.0048,0.0045,14210.3309,11911.2796,1.0004
E[221],-0.5094,0.5681,-1.6312,0.5084,0.0044,0.0044,16713.112,11381.4315,1.0
E[222],-0.5142,0.5698,-1.5886,0.5536,0.0045,0.0043,16087.4114,12071.0997,1.0003
E[223],-0.5134,0.5661,-1.571,0.5583,0.004,0.0046,19918.0038,12106.4394,1.0004
E[224],-0.514,0.5672,-1.5724,0.5583,0.0041,0.0046,19275.5779,12772.3442,1.0001
E[225],-0.5147,0.5604,-1.5445,0.5564,0.0045,0.0043,15223.3949,11784.1187,1.0001
E[226],-0.5091,0.5635,-1.5597,0.561,0.0043,0.0044,17053.1695,12246.2021,1.0002
E[227],-0.5107,0.5664,-1.6056,0.5347,0.0041,0.0046,19059.8844,12216.534,1.0007
E[228],-0.5071,0.5589,-1.5408,0.5596,0.0041,0.0043,18171.3001,12302.7353,1.0001
E[229],-0.5188,0.5702,-1.5398,0.5839,0.0043,0.0043,17535.9967,11478.131,1.0002
E[230],-0.5113,0.5675,-1.5747,0.561,0.0048,0.0043,13815.2532,11746.4907,1.0001
